StoreNumber,ActivityDate,ActivityTime,TrafficIn,TrafficOut,TrafficGroupIn,TrafficGroupOut
10789,01/04/2021,09:45:00,0,0,0,0
10789,01/04/2021,10:00:00,0,0,0,0
10789,01/04/2021,10:15:00,0,0,0,0
10789,01/04/2021,10:30:00,1,0,1,0
10789,01/04/2021,10:45:00,0,1,0,1
10789,01/04/2021,11:00:00,0,0,0,0
10789,01/04/2021,11:15:00,1,0,1,0
10789,01/04/2021,11:30:00,0,0,0,0
10789,01/04/2021,11:45:00,1,1,1,1
10789,01/04/2021,12:00:00,1,0,1,0
10789,01/04/2021,12:15:00,1,0,1,0
10789,01/04/2021,12:30:00,2,1,1,1
10789,01/04/2021,12:45:00,0,1,0,1
10789,01/04/2021,13:00:00,2,5,1,3
10789,01/04/2021,13:15:00,1,0,1,0
10789,01/04/2021,13:30:00,1,0,1,0
10789,01/04/2021,13:45:00,2,0,1,0
10789,01/04/2021,14:00:00,0,2,0,1
10789,01/04/2021,14:15:00,0,0,0,0
10789,01/04/2021,14:30:00,2,0,2,0
10789,01/04/2021,14:45:00,1,2,1,2
10789,01/04/2021,15:00:00,2,2,2,2
10789,01/04/2021,15:15:00,0,2,0,2
10789,01/04/2021,15:30:00,0,1,0,1
10789,01/04/2021,15:45:00,0,0,0,0
10789,01/04/2021,16:00:00,1,0,1,0
10789,01/04/2021,16:15:00,2,0,1,0
10789,01/04/2021,16:30:00,3,1,1,1
10789,01/04/2021,16:45:00,2,3,1,1
10789,01/04/2021,17:00:00,0,4,0,2
10789,01/04/2021,17:15:00,1,0,1,0
10789,01/04/2021,17:30:00,2,0,1,0
10789,01/04/2021,17:45:00,0,3,0,2
10789,01/04/2021,18:00:00,0,0,0,0
10789,01/04/2021,18:15:00,0,0,0,0
10789,01/18/2021,09:30:00,0,0,0,0
10789,01/18/2021,09:45:00,0,0,0,0
10789,01/18/2021,10:00:00,0,0,0,0
10789,01/18/2021,10:15:00,0,0,0,0
10789,01/18/2021,10:30:00,0,0,0,0
10789,01/18/2021,10:45:00,2,2,1,1
10789,01/18/2021,11:00:00,3,0,2,0
10789,01/18/2021,11:15:00,0,2,0,1
10789,01/18/2021,11:30:00,0,1,0,1
10789,01/18/2021,11:45:00,0,0,0,0
10789,01/18/2021,12:00:00,0,0,0,0
10789,01/18/2021,12:15:00,0,0,0,0
10789,01/18/2021,12:30:00,0,0,0,0
10789,01/18/2021,12:45:00,0,0,0,0
10789,01/18/2021,13:00:00,1,0,1,0
10789,01/18/2021,13:15:00,0,0,0,0
10789,01/18/2021,13:30:00,0,0,0,0
10789,01/18/2021,13:45:00,2,0,1,0
10789,01/18/2021,14:00:00,0,1,0,1
10789,01/18/2021,14:15:00,0,0,0,0
10789,01/18/2021,14:30:00,0,0,0,0
10789,01/18/2021,14:45:00,0,0,0,0
10789,01/18/2021,15:00:00,0,0,0,0
10789,01/18/2021,15:15:00,0,0,0,0
10789,01/18/2021,15:30:00,0,2,0,1
10789,01/18/2021,15:45:00,1,1,1,1
10789,01/18/2021,16:00:00,0,0,0,0
10789,01/18/2021,16:15:00,3,0,3,0
10789,01/18/2021,16:30:00,3,1,2,1
10789,01/18/2021,16:45:00,0,2,0,2
10789,01/18/2021,17:00:00,0,0,0,0
10789,01/18/2021,17:15:00,2,1,1,1
10789,01/18/2021,17:30:00,3,0,1,0
10789,01/18/2021,17:45:00,0,5,0,2
10789,01/18/2021,18:00:00,0,0,0,0
10789,01/18/2021,18:15:00,0,2,0,1
10789,01/18/2021,18:30:00,0,0,0,0
10789,01/20/2021,09:30:00,0,0,0,0
10789,01/20/2021,09:45:00,0,0,0,0
10789,01/20/2021,10:00:00,1,0,1,0
10789,01/20/2021,10:15:00,1,0,1,0
10789,01/20/2021,10:30:00,0,0,0,0
10789,01/20/2021,10:45:00,0,0,0,0
10789,01/20/2021,11:00:00,0,1,0,1
10789,01/20/2021,11:15:00,2,1,1,1
10789,01/20/2021,11:30:00,0,0,0,0
10789,01/20/2021,11:45:00,2,0,1,0
10789,01/20/2021,12:00:00,0,2,0,1
10789,01/20/2021,12:15:00,2,0,2,0
10789,01/20/2021,12:30:00,0,2,0,2
10789,01/20/2021,12:45:00,0,0,0,0
10789,01/20/2021,13:00:00,0,0,0,0
10789,01/20/2021,13:15:00,2,0,1,0
10789,01/20/2021,13:30:00,0,0,0,0
10789,01/20/2021,13:45:00,0,0,0,0
10789,01/20/2021,14:00:00,0,2,0,1
10789,01/20/2021,14:15:00,0,2,0,1
10789,01/20/2021,14:30:00,0,0,0,0
10789,01/20/2021,14:45:00,0,0,0,0
10789,01/20/2021,15:00:00,0,0,0,0
10789,01/20/2021,15:15:00,0,0,0,0
10789,01/20/2021,15:30:00,1,0,1,0
10789,01/20/2021,15:45:00,0,1,0,1
